interval_start,interval_end,number_of_trips,rental_place,return_place
2019-03-11 21:15:00,2019-03-11 21:30:00,1,18,18
2019-03-11 21:30:00,2019-03-11 21:45:00,1,18,18
2019-03-11 21:45:00,2019-03-11 22:00:00,1,18,18
2019-03-11 22:00:00,2019-03-11 22:15:00,1,18,18
2019-03-15 10:15:00,2019-03-15 10:30:00,4,195,195
2019-03-15 10:30:00,2019-03-15 10:45:00,2,195,18
2019-03-15 10:30:00,2019-03-15 10:45:00,4,195,195
2019-03-15 10:45:00,2019-03-15 11:00:00,1,18,18
2019-03-15 11:00:00,2019-03-15 11:15:00,1,18,18
2019-03-15 11:00:00,2019-03-15 11:15:00,1,18,58
2019-03-15 11:15:00,2019-03-15 11:30:00,2,18,58
2019-03-15 11:15:00,2019-03-15 11:30:00,1,58,58
2019-03-15 11:30:00,2019-03-15 11:45:00,1,58,58
2019-03-15 11:30:00,2019-03-15 11:45:00,2,58,108
2019-03-15 11:45:00,2019-03-15 12:00:00,2,58,108
2019-03-15 11:45:00,2019-03-15 12:00:00,2,108,108
2019-03-15 12:00:00,2019-03-15 12:15:00,3,108,108
2019-03-15 12:15:00,2019-03-15 12:30:00,2,108,195
2019-03-15 13:30:00,2019-03-15 13:45:00,1,195,195
2019-03-18 13:00:00,2019-03-18 13:15:00,2,195,113
2019-03-18 13:15:00,2019-03-18 13:30:00,2,113,113
2019-03-18 13:30:00,2019-03-18 13:45:00,2,46,137
2019-03-18 13:30:00,2019-03-18 13:45:00,2,111,46
2019-03-18 13:45:00,2019-03-18 14:00:00,1,137,118
2019-03-18 14:00:00,2019-03-18 14:15:00,2,118,163
2019-03-18 14:15:00,2019-03-18 14:30:00,1,163,163
2019-03-18 14:45:00,2019-03-18 15:00:00,1,195,153
2019-03-18 15:00:00,2019-03-18 15:15:00,1,195,153
2019-03-18 15:15:00,2019-03-18 15:30:00,1,153,115
2019-03-18 15:30:00,2019-03-18 15:45:00,1,115,115
2019-03-18 15:30:00,2019-03-18 15:45:00,1,153,115
2019-03-18 15:45:00,2019-03-18 16:00:00,1,115,115
2019-03-18 15:45:00,2019-03-18 16:00:00,1,126,195
2019-03-18 16:00:00,2019-03-18 16:15:00,1,126,195
2019-03-19 10:30:00,2019-03-19 10:45:00,1,118,70
2019-03-19 10:45:00,2019-03-19 11:00:00,1,118,70
2019-03-19 11:00:00,2019-03-19 11:15:00,1,70,67
2019-03-19 11:00:00,2019-03-19 11:15:00,1,118,70
2019-03-19 11:30:00,2019-03-19 11:45:00,1,108,111
2019-03-19 11:45:00,2019-03-19 12:00:00,1,146,23
2019-03-19 12:00:00,2019-03-19 12:15:00,1,146,23
2019-03-19 12:30:00,2019-03-19 12:45:00,1,195,126
2019-03-19 12:45:00,2019-03-19 13:00:00,2,126,195
2019-03-19 13:00:00,2019-03-19 13:15:00,1,111,111
2019-03-19 13:00:00,2019-03-19 13:15:00,2,126,195
2019-03-19 13:15:00,2019-03-19 13:30:00,2,126,195
2019-03-19 13:30:00,2019-03-19 13:45:00,2,126,195
2019-03-19 13:45:00,2019-03-19 14:00:00,2,126,195
2019-03-19 14:00:00,2019-03-19 14:15:00,2,126,195
2019-03-19 14:15:00,2019-03-19 14:30:00,1,111,46
2019-03-19 14:15:00,2019-03-19 14:30:00,2,126,195
2019-03-19 14:30:00,2019-03-19 14:45:00,1,111,46
2019-03-19 14:45:00,2019-03-19 15:00:00,1,46,111
2019-03-19 15:00:00,2019-03-19 15:15:00,1,46,111
2019-03-19 15:15:00,2019-03-19 15:30:00,1,46,111
2019-03-19 15:30:00,2019-03-19 15:45:00,1,46,111
2019-03-19 15:45:00,2019-03-19 16:00:00,1,46,111
2019-03-19 16:00:00,2019-03-19 16:15:00,1,46,111
2019-03-20 12:30:00,2019-03-20 12:45:00,1,195,18
2019-03-20 13:30:00,2019-03-20 13:45:00,1,19,112
2019-03-20 13:30:00,2019-03-20 13:45:00,1,19,195
2019-03-20 13:45:00,2019-03-20 14:00:00,1,19,112
2019-03-20 13:45:00,2019-03-20 14:00:00,2,19,195
2019-03-20 16:00:00,2019-03-20 16:15:00,1,103,103
2019-03-20 19:30:00,2019-03-20 19:45:00,1,161,161
2019-03-20 20:15:00,2019-03-20 20:30:00,1,161,161
2019-03-20 21:00:00,2019-03-20 21:15:00,1,26,26
2019-03-20 22:15:00,2019-03-20 22:30:00,1,161,161
2019-03-20 22:30:00,2019-03-20 22:45:00,1,161,161
2019-03-21 12:15:00,2019-03-21 12:30:00,3,150,150
2019-03-21 12:30:00,2019-03-21 12:45:00,2,150,150
2019-03-21 13:15:00,2019-03-21 13:30:00,2,195,195
2019-03-21 13:45:00,2019-03-21 14:00:00,2,18,18
2019-03-21 13:45:00,2019-03-21 14:00:00,3,195,18
2019-03-21 13:45:00,2019-03-21 14:00:00,1,195,195
2019-03-21 14:00:00,2019-03-21 14:15:00,5,18,18
2019-03-21 14:00:00,2019-03-21 14:15:00,1,195,195
2019-03-21 14:15:00,2019-03-21 14:30:00,10,18,18
2019-03-21 14:15:00,2019-03-21 14:30:00,1,195,195
2019-03-21 14:30:00,2019-03-21 14:45:00,2,18,18
2019-03-21 14:30:00,2019-03-21 14:45:00,5,18,195
2019-03-21 14:30:00,2019-03-21 14:45:00,1,195,195
2019-03-21 14:45:00,2019-03-21 15:00:00,5,18,195
2019-03-21 14:45:00,2019-03-21 15:00:00,1,195,195
2019-03-22 10:15:00,2019-03-22 10:30:00,1,195,126
2019-03-22 10:30:00,2019-03-22 10:45:00,2,126,18
2019-03-22 10:30:00,2019-03-22 10:45:00,1,126,126
2019-03-22 10:45:00,2019-03-22 11:00:00,2,18,18
2019-03-22 11:00:00,2019-03-22 11:15:00,1,18,18
2019-03-22 11:15:00,2019-03-22 11:30:00,1,18,18
2019-03-22 11:30:00,2019-03-22 11:45:00,4,18,18
2019-03-22 11:45:00,2019-03-22 12:00:00,2,18,18
2019-03-22 12:45:00,2019-03-22 13:00:00,2,195,118
2019-03-22 13:00:00,2019-03-22 13:15:00,1,118,118
2019-03-22 13:00:00,2019-03-22 13:15:00,2,195,118
2019-03-22 14:00:00,2019-03-22 14:15:00,4,118,195
2019-03-22 14:15:00,2019-03-22 14:30:00,4,118,195
2019-03-22 14:30:00,2019-03-22 14:45:00,1,118,195
2019-03-22 14:45:00,2019-03-22 15:00:00,1,118,195
2019-03-22 14:45:00,2019-03-22 15:00:00,2,195,195
2019-03-22 15:00:00,2019-03-22 15:15:00,3,195,195
2019-03-22 15:15:00,2019-03-22 15:30:00,5,195,118
2019-03-22 15:15:00,2019-03-22 15:30:00,9,195,195
2019-03-22 15:30:00,2019-03-22 15:45:00,1,26,103
2019-03-22 15:30:00,2019-03-22 15:45:00,5,195,118
2019-03-22 15:45:00,2019-03-22 16:00:00,1,26,103
2019-03-22 15:45:00,2019-03-22 16:00:00,1,118,118
2019-03-22 15:45:00,2019-03-22 16:00:00,3,195,118
2019-03-22 16:00:00,2019-03-22 16:15:00,1,118,118
2019-03-22 16:00:00,2019-03-22 16:15:00,3,195,118
2019-03-22 16:15:00,2019-03-22 16:30:00,1,118,118
2019-03-22 16:15:00,2019-03-22 16:30:00,3,195,118
2019-03-22 16:30:00,2019-03-22 16:45:00,4,118,195
2019-03-22 16:45:00,2019-03-22 17:00:00,4,118,195
2019-03-22 18:30:00,2019-03-22 18:45:00,1,150,150
2019-03-22 18:45:00,2019-03-22 19:00:00,1,150,150
2019-03-22 23:45:00,2019-03-23 00:00:00,1,152,18
2019-03-23 00:00:00,2019-03-23 00:15:00,3,15,15
2019-03-23 00:00:00,2019-03-23 00:15:00,1,16,103
2019-03-23 00:00:00,2019-03-23 00:15:00,1,20,20
2019-03-23 00:15:00,2019-03-23 00:30:00,3,15,15
2019-03-23 00:15:00,2019-03-23 00:30:00,1,16,103
2019-03-23 00:15:00,2019-03-23 00:30:00,1,18,58
2019-03-23 00:15:00,2019-03-23 00:30:00,1,27,28
2019-03-23 00:15:00,2019-03-23 00:30:00,1,87,67
2019-03-23 00:15:00,2019-03-23 00:30:00,1,137,196
2019-03-23 00:30:00,2019-03-23 00:45:00,1,27,28
2019-03-23 00:30:00,2019-03-23 00:45:00,1,57,163
2019-03-23 00:30:00,2019-03-23 00:45:00,1,68,117
2019-03-23 00:30:00,2019-03-23 00:45:00,1,87,67
2019-03-23 00:30:00,2019-03-23 00:45:00,1,111,170
2019-03-23 00:30:00,2019-03-23 00:45:00,1,137,196
2019-03-23 00:45:00,2019-03-23 01:00:00,1,57,163
2019-03-23 00:45:00,2019-03-23 01:00:00,1,68,117
2019-03-23 00:45:00,2019-03-23 01:00:00,1,87,67
2019-03-23 00:45:00,2019-03-23 01:00:00,1,111,170
2019-03-23 00:45:00,2019-03-23 01:00:00,1,125,125
2019-03-23 01:00:00,2019-03-23 01:15:00,2,1,30
2019-03-23 01:00:00,2019-03-23 01:15:00,1,16,58
2019-03-23 01:00:00,2019-03-23 01:15:00,1,125,125
2019-03-23 01:15:00,2019-03-23 01:30:00,2,1,30
2019-03-23 01:15:00,2019-03-23 01:30:00,1,16,58
2019-03-23 01:15:00,2019-03-23 01:30:00,2,18,16
2019-03-23 01:15:00,2019-03-23 01:30:00,2,136,137
2019-03-23 01:30:00,2019-03-23 01:45:00,2,18,16
2019-03-23 01:30:00,2019-03-23 01:45:00,1,126,202
2019-03-23 01:30:00,2019-03-23 01:45:00,2,136,137
2019-03-23 01:30:00,2019-03-23 01:45:00,1,140,119
2019-03-23 01:45:00,2019-03-23 02:00:00,2,108,113
2019-03-23 01:45:00,2019-03-23 02:00:00,1,126,202
2019-03-23 02:00:00,2019-03-23 02:15:00,2,15,15
2019-03-23 02:00:00,2019-03-23 02:15:00,2,108,113
2019-03-23 02:00:00,2019-03-23 02:15:00,1,163,89
2019-03-23 02:00:00,2019-03-23 02:15:00,1,172,98
2019-03-23 02:00:00,2019-03-23 02:15:00,1,195,115
2019-03-23 02:15:00,2019-03-23 02:30:00,2,15,15
2019-03-23 02:15:00,2019-03-23 02:30:00,2,108,113
2019-03-23 02:15:00,2019-03-23 02:30:00,2,157,58
2019-03-23 02:15:00,2019-03-23 02:30:00,1,163,89
2019-03-23 02:15:00,2019-03-23 02:30:00,1,172,98
2019-03-23 02:30:00,2019-03-23 02:45:00,2,108,113
2019-03-23 02:30:00,2019-03-23 02:45:00,1,163,89
2019-03-23 02:30:00,2019-03-23 02:45:00,1,171,61
2019-03-23 02:30:00,2019-03-23 02:45:00,1,172,98
2019-03-23 02:45:00,2019-03-23 03:00:00,1,163,89
2019-03-23 02:45:00,2019-03-23 03:00:00,1,171,61
2019-03-23 03:00:00,2019-03-23 03:15:00,4,16,140
2019-03-23 03:00:00,2019-03-23 03:15:00,1,23,5
2019-03-23 03:00:00,2019-03-23 03:15:00,1,163,89
2019-03-23 03:15:00,2019-03-23 03:30:00,4,16,140
2019-03-23 03:15:00,2019-03-23 03:30:00,1,23,5
2019-03-23 03:15:00,2019-03-23 03:30:00,1,119,2
2019-03-23 03:15:00,2019-03-23 03:30:00,4,140,139
2019-03-23 03:15:00,2019-03-23 03:30:00,1,163,89
2019-03-23 03:30:00,2019-03-23 03:45:00,1,23,5
2019-03-23 03:30:00,2019-03-23 03:45:00,1,119,2
2019-03-23 03:30:00,2019-03-23 03:45:00,4,140,139
2019-03-23 03:30:00,2019-03-23 03:45:00,1,163,89
2019-03-23 03:45:00,2019-03-23 04:00:00,1,19,190
2019-03-23 03:45:00,2019-03-23 04:00:00,1,23,5
2019-03-23 03:45:00,2019-03-23 04:00:00,3,136,167
2019-03-23 03:45:00,2019-03-23 04:00:00,2,137,87
2019-03-23 03:45:00,2019-03-23 04:00:00,1,163,89
2019-03-23 03:45:00,2019-03-23 04:00:00,2,189,1
2019-03-23 04:00:00,2019-03-23 04:15:00,1,23,5
2019-03-23 04:00:00,2019-03-23 04:15:00,3,136,167
2019-03-23 04:00:00,2019-03-23 04:15:00,2,137,87
2019-03-23 04:00:00,2019-03-23 04:15:00,1,157,136
2019-03-23 04:00:00,2019-03-23 04:15:00,1,163,89
2019-03-23 04:00:00,2019-03-23 04:15:00,2,189,1
2019-03-23 04:15:00,2019-03-23 04:30:00,1,23,5
2019-03-23 04:15:00,2019-03-23 04:30:00,1,157,136
2019-03-23 04:15:00,2019-03-23 04:30:00,1,163,89
2019-03-23 04:15:00,2019-03-23 04:30:00,2,189,1
2019-03-23 04:30:00,2019-03-23 04:45:00,1,23,5
2019-03-23 04:30:00,2019-03-23 04:45:00,1,157,136
2019-03-23 04:30:00,2019-03-23 04:45:00,1,163,89
2019-03-23 04:30:00,2019-03-23 04:45:00,2,189,1
2019-03-23 04:45:00,2019-03-23 05:00:00,1,23,5
2019-03-23 04:45:00,2019-03-23 05:00:00,1,157,136
2019-03-23 04:45:00,2019-03-23 05:00:00,1,163,89
2019-03-23 04:45:00,2019-03-23 05:00:00,2,189,1
2019-03-23 05:00:00,2019-03-23 05:15:00,1,23,5
2019-03-23 05:00:00,2019-03-23 05:15:00,1,157,136
2019-03-23 05:00:00,2019-03-23 05:15:00,1,163,89
2019-03-23 05:00:00,2019-03-23 05:15:00,2,189,1
2019-03-23 05:15:00,2019-03-23 05:30:00,1,23,5
2019-03-23 05:15:00,2019-03-23 05:30:00,1,125,115
2019-03-23 05:15:00,2019-03-23 05:30:00,1,163,89
2019-03-23 05:15:00,2019-03-23 05:30:00,2,189,1
2019-03-23 05:30:00,2019-03-23 05:45:00,1,23,5
2019-03-23 05:30:00,2019-03-23 05:45:00,1,125,115
2019-03-23 05:30:00,2019-03-23 05:45:00,1,163,89
2019-03-23 05:30:00,2019-03-23 05:45:00,2,189,1
2019-03-23 05:45:00,2019-03-23 06:00:00,1,23,5
2019-03-23 05:45:00,2019-03-23 06:00:00,1,163,89
2019-03-23 05:45:00,2019-03-23 06:00:00,2,189,1
2019-03-23 06:00:00,2019-03-23 06:15:00,1,16,18
2019-03-23 06:00:00,2019-03-23 06:15:00,1,23,5
2019-03-23 06:00:00,2019-03-23 06:15:00,1,163,89
2019-03-23 06:00:00,2019-03-23 06:15:00,2,189,1
2019-03-23 06:15:00,2019-03-23 06:30:00,1,23,5
2019-03-23 06:15:00,2019-03-23 06:30:00,1,163,89
2019-03-23 06:15:00,2019-03-23 06:30:00,2,189,1
2019-03-23 06:30:00,2019-03-23 06:45:00,1,23,5
2019-03-23 06:30:00,2019-03-23 06:45:00,1,163,89
2019-03-23 06:30:00,2019-03-23 06:45:00,2,189,1
2019-03-23 06:45:00,2019-03-23 07:00:00,1,23,5
2019-03-23 06:45:00,2019-03-23 07:00:00,1,163,89
2019-03-23 06:45:00,2019-03-23 07:00:00,2,189,1
2019-03-23 07:00:00,2019-03-23 07:15:00,1,23,5
2019-03-23 07:00:00,2019-03-23 07:15:00,1,163,89
2019-03-23 07:00:00,2019-03-23 07:15:00,2,189,1
2019-03-23 07:15:00,2019-03-23 07:30:00,1,23,5
2019-03-23 07:15:00,2019-03-23 07:30:00,1,163,89
2019-03-23 07:15:00,2019-03-23 07:30:00,2,189,1
2019-03-23 07:30:00,2019-03-23 07:45:00,1,23,5
2019-03-23 07:30:00,2019-03-23 07:45:00,1,163,89
2019-03-23 07:30:00,2019-03-23 07:45:00,2,189,1
2019-03-23 07:45:00,2019-03-23 08:00:00,1,23,5
2019-03-23 07:45:00,2019-03-23 08:00:00,1,89,136
2019-03-23 07:45:00,2019-03-23 08:00:00,1,163,57
2019-03-23 07:45:00,2019-03-23 08:00:00,1,163,89
2019-03-23 07:45:00,2019-03-23 08:00:00,1,163,110
2019-03-23 07:45:00,2019-03-23 08:00:00,2,189,1
2019-03-23 07:45:00,2019-03-23 08:00:00,1,200,89
2019-03-23 08:00:00,2019-03-23 08:15:00,1,23,5
2019-03-23 08:00:00,2019-03-23 08:15:00,1,89,136
2019-03-23 08:00:00,2019-03-23 08:15:00,1,152,172
2019-03-23 08:00:00,2019-03-23 08:15:00,1,163,57
2019-03-23 08:00:00,2019-03-23 08:15:00,1,163,89
2019-03-23 08:00:00,2019-03-23 08:15:00,1,163,110
2019-03-23 08:00:00,2019-03-23 08:15:00,2,189,1
2019-03-23 08:00:00,2019-03-23 08:15:00,2,190,62
2019-03-23 08:15:00,2019-03-23 08:30:00,1,5,5
2019-03-23 08:15:00,2019-03-23 08:30:00,1,23,5
2019-03-23 08:15:00,2019-03-23 08:30:00,1,35,117
2019-03-23 08:15:00,2019-03-23 08:30:00,1,87,19
2019-03-23 08:15:00,2019-03-23 08:30:00,1,152,172
2019-03-23 08:15:00,2019-03-23 08:30:00,1,163,89
2019-03-23 08:15:00,2019-03-23 08:30:00,2,189,1
2019-03-23 08:15:00,2019-03-23 08:30:00,2,190,62
2019-03-23 08:30:00,2019-03-23 08:45:00,1,5,5
2019-03-23 08:30:00,2019-03-23 08:45:00,1,21,67
2019-03-23 08:30:00,2019-03-23 08:45:00,1,23,5
2019-03-23 08:30:00,2019-03-23 08:45:00,1,35,117
2019-03-23 08:30:00,2019-03-23 08:45:00,1,57,190
2019-03-23 08:30:00,2019-03-23 08:45:00,1,58,108
2019-03-23 08:30:00,2019-03-23 08:45:00,1,58,125
2019-03-23 08:30:00,2019-03-23 08:45:00,1,87,19
2019-03-23 08:30:00,2019-03-23 08:45:00,1,163,89
2019-03-23 08:30:00,2019-03-23 08:45:00,2,189,1
2019-03-23 08:30:00,2019-03-23 08:45:00,2,190,62
2019-03-23 08:30:00,2019-03-23 08:45:00,1,200,18
2019-03-23 08:45:00,2019-03-23 09:00:00,1,5,5
2019-03-23 08:45:00,2019-03-23 09:00:00,1,16,108
2019-03-23 08:45:00,2019-03-23 09:00:00,3,18,86
2019-03-23 08:45:00,2019-03-23 09:00:00,1,21,67
2019-03-23 08:45:00,2019-03-23 09:00:00,1,23,5
2019-03-23 08:45:00,2019-03-23 09:00:00,1,57,190
2019-03-23 08:45:00,2019-03-23 09:00:00,1,58,108
2019-03-23 08:45:00,2019-03-23 09:00:00,1,58,125
2019-03-23 08:45:00,2019-03-23 09:00:00,1,67,137
2019-03-23 08:45:00,2019-03-23 09:00:00,1,117,119
2019-03-23 08:45:00,2019-03-23 09:00:00,1,126,18
2019-03-23 08:45:00,2019-03-23 09:00:00,1,161,98
2019-03-23 08:45:00,2019-03-23 09:00:00,1,163,89
2019-03-23 08:45:00,2019-03-23 09:00:00,2,189,1
2019-03-23 08:45:00,2019-03-23 09:00:00,2,190,62
2019-03-23 08:45:00,2019-03-23 09:00:00,1,200,18
2019-03-23 09:00:00,2019-03-23 09:15:00,3,18,86
2019-03-23 09:00:00,2019-03-23 09:15:00,1,21,67
2019-03-23 09:00:00,2019-03-23 09:15:00,1,23,5
2019-03-23 09:00:00,2019-03-23 09:15:00,2,28,1
2019-03-23 09:00:00,2019-03-23 09:15:00,1,57,190
2019-03-23 09:00:00,2019-03-23 09:15:00,1,58,125
2019-03-23 09:00:00,2019-03-23 09:15:00,1,67,137
2019-03-23 09:00:00,2019-03-23 09:15:00,1,68,68
2019-03-23 09:00:00,2019-03-23 09:15:00,1,109,105
2019-03-23 09:00:00,2019-03-23 09:15:00,1,117,119
2019-03-23 09:00:00,2019-03-23 09:15:00,1,119,16
2019-03-23 09:00:00,2019-03-23 09:15:00,1,126,18
2019-03-23 09:00:00,2019-03-23 09:15:00,1,161,98
2019-03-23 09:00:00,2019-03-23 09:15:00,1,163,89
2019-03-23 09:00:00,2019-03-23 09:15:00,2,189,1
2019-03-23 09:00:00,2019-03-23 09:15:00,2,190,62
2019-03-23 09:00:00,2019-03-23 09:15:00,1,198,1
2019-03-23 09:15:00,2019-03-23 09:30:00,3,18,86
2019-03-23 09:15:00,2019-03-23 09:30:00,1,21,67
2019-03-23 09:15:00,2019-03-23 09:30:00,1,23,5
2019-03-23 09:15:00,2019-03-23 09:30:00,1,23,40
2019-03-23 09:15:00,2019-03-23 09:30:00,1,26,40
2019-03-23 09:15:00,2019-03-23 09:30:00,2,28,1
2019-03-23 09:15:00,2019-03-23 09:30:00,1,67,137
2019-03-23 09:15:00,2019-03-23 09:30:00,1,68,68
2019-03-23 09:15:00,2019-03-23 09:30:00,1,98,98
2019-03-23 09:15:00,2019-03-23 09:30:00,1,109,105
2019-03-23 09:15:00,2019-03-23 09:30:00,1,117,119
2019-03-23 09:15:00,2019-03-23 09:30:00,1,119,16
2019-03-23 09:15:00,2019-03-23 09:30:00,1,140,136
2019-03-23 09:15:00,2019-03-23 09:30:00,1,157,58
2019-03-23 09:15:00,2019-03-23 09:30:00,1,161,98
2019-03-23 09:15:00,2019-03-23 09:30:00,1,163,89
2019-03-23 09:15:00,2019-03-23 09:30:00,1,167,86
2019-03-23 09:15:00,2019-03-23 09:30:00,2,189,1
2019-03-23 09:15:00,2019-03-23 09:30:00,1,198,1
2019-03-23 09:30:00,2019-03-23 09:45:00,1,21,67
2019-03-23 09:30:00,2019-03-23 09:45:00,1,23,5
2019-03-23 09:30:00,2019-03-23 09:45:00,1,26,40
2019-03-23 09:30:00,2019-03-23 09:45:00,2,62,190
2019-03-23 09:30:00,2019-03-23 09:45:00,1,67,137
2019-03-23 09:30:00,2019-03-23 09:45:00,1,68,68
2019-03-23 09:30:00,2019-03-23 09:45:00,1,87,121
2019-03-23 09:30:00,2019-03-23 09:45:00,2,87,136
2019-03-23 09:30:00,2019-03-23 09:45:00,1,89,201
2019-03-23 09:30:00,2019-03-23 09:45:00,1,98,98
2019-03-23 09:30:00,2019-03-23 09:45:00,1,108,57
2019-03-23 09:30:00,2019-03-23 09:45:00,1,109,105
2019-03-23 09:30:00,2019-03-23 09:45:00,1,115,114
2019-03-23 09:30:00,2019-03-23 09:45:00,1,117,119
2019-03-23 09:30:00,2019-03-23 09:45:00,1,140,108
2019-03-23 09:30:00,2019-03-23 09:45:00,1,140,136
2019-03-23 09:30:00,2019-03-23 09:45:00,2,157,58
2019-03-23 09:30:00,2019-03-23 09:45:00,1,163,89
2019-03-23 09:30:00,2019-03-23 09:45:00,2,167,86
2019-03-23 09:30:00,2019-03-23 09:45:00,2,189,1
2019-03-23 09:30:00,2019-03-23 09:45:00,1,200,140
2019-03-23 09:45:00,2019-03-23 10:00:00,1,16,46
2019-03-23 09:45:00,2019-03-23 10:00:00,2,16,168
2019-03-23 09:45:00,2019-03-23 10:00:00,1,18,46
2019-03-23 09:45:00,2019-03-23 10:00:00,1,21,67
2019-03-23 09:45:00,2019-03-23 10:00:00,1,23,5
2019-03-23 09:45:00,2019-03-23 10:00:00,1,26,40
2019-03-23 09:45:00,2019-03-23 10:00:00,2,62,190
2019-03-23 09:45:00,2019-03-23 10:00:00,1,67,137
2019-03-23 09:45:00,2019-03-23 10:00:00,1,68,68
2019-03-23 09:45:00,2019-03-23 10:00:00,1,87,121
2019-03-23 09:45:00,2019-03-23 10:00:00,2,87,136
2019-03-23 09:45:00,2019-03-23 10:00:00,1,89,201
2019-03-23 09:45:00,2019-03-23 10:00:00,1,108,57
2019-03-23 09:45:00,2019-03-23 10:00:00,1,109,105
2019-03-23 09:45:00,2019-03-23 10:00:00,2,109,136
2019-03-23 09:45:00,2019-03-23 10:00:00,1,115,114
2019-03-23 09:45:00,2019-03-23 10:00:00,1,117,119
2019-03-23 09:45:00,2019-03-23 10:00:00,1,136,86
2019-03-23 09:45:00,2019-03-23 10:00:00,1,140,108
2019-03-23 09:45:00,2019-03-23 10:00:00,1,157,58
2019-03-23 09:45:00,2019-03-23 10:00:00,1,163,89
2019-03-23 09:45:00,2019-03-23 10:00:00,2,167,86
2019-03-23 09:45:00,2019-03-23 10:00:00,1,169,40
2019-03-23 09:45:00,2019-03-23 10:00:00,2,189,1
2019-03-23 10:00:00,2019-03-23 10:15:00,1,1,198
2019-03-23 10:00:00,2019-03-23 10:15:00,1,11,62
2019-03-23 10:00:00,2019-03-23 10:15:00,1,16,46
2019-03-23 10:00:00,2019-03-23 10:15:00,2,16,168
2019-03-23 10:00:00,2019-03-23 10:15:00,1,18,46
2019-03-23 10:00:00,2019-03-23 10:15:00,1,18,137
2019-03-23 10:00:00,2019-03-23 10:15:00,1,21,67
2019-03-23 10:00:00,2019-03-23 10:15:00,1,23,5
2019-03-23 10:00:00,2019-03-23 10:15:00,2,28,168
2019-03-23 10:00:00,2019-03-23 10:15:00,2,62,190
2019-03-23 10:00:00,2019-03-23 10:15:00,1,67,137
2019-03-23 10:00:00,2019-03-23 10:15:00,1,68,68
2019-03-23 10:00:00,2019-03-23 10:15:00,1,80,80
2019-03-23 10:00:00,2019-03-23 10:15:00,1,89,201
2019-03-23 10:00:00,2019-03-23 10:15:00,1,109,136
2019-03-23 10:00:00,2019-03-23 10:15:00,1,110,109
2019-03-23 10:00:00,2019-03-23 10:15:00,1,117,119
2019-03-23 10:00:00,2019-03-23 10:15:00,1,136,86
2019-03-23 10:00:00,2019-03-23 10:15:00,1,136,109
2019-03-23 10:00:00,2019-03-23 10:15:00,1,137,137
2019-03-23 10:00:00,2019-03-23 10:15:00,1,139,140
2019-03-23 10:00:00,2019-03-23 10:15:00,1,140,108
2019-03-23 10:00:00,2019-03-23 10:15:00,1,156,40
2019-03-23 10:00:00,2019-03-23 10:15:00,1,156,136
2019-03-23 10:00:00,2019-03-23 10:15:00,1,157,58
2019-03-23 10:00:00,2019-03-23 10:15:00,1,163,89
2019-03-23 10:00:00,2019-03-23 10:15:00,2,167,86
2019-03-23 10:00:00,2019-03-23 10:15:00,1,188,110
2019-03-23 10:00:00,2019-03-23 10:15:00,2,189,1
2019-03-23 10:00:00,2019-03-23 10:15:00,1,190,189
2019-03-23 10:15:00,2019-03-23 10:30:00,1,11,11
2019-03-23 10:15:00,2019-03-23 10:30:00,2,11,62
2019-03-23 10:15:00,2019-03-23 10:30:00,2,18,18
2019-03-23 10:15:00,2019-03-23 10:30:00,1,18,125
2019-03-23 10:15:00,2019-03-23 10:30:00,1,18,137
2019-03-23 10:15:00,2019-03-23 10:30:00,1,20,169
2019-03-23 10:15:00,2019-03-23 10:30:00,1,21,67
2019-03-23 10:15:00,2019-03-23 10:30:00,1,23,5
2019-03-23 10:15:00,2019-03-23 10:30:00,1,23,119
2019-03-23 10:15:00,2019-03-23 10:30:00,1,28,158
2019-03-23 10:15:00,2019-03-23 10:30:00,2,28,168
2019-03-23 10:15:00,2019-03-23 10:30:00,1,67,137
2019-03-23 10:15:00,2019-03-23 10:30:00,1,68,68
2019-03-23 10:15:00,2019-03-23 10:30:00,1,80,80
2019-03-23 10:15:00,2019-03-23 10:30:00,1,87,136
2019-03-23 10:15:00,2019-03-23 10:30:00,1,88,22
2019-03-23 10:15:00,2019-03-23 10:30:00,1,89,114
2019-03-23 10:15:00,2019-03-23 10:30:00,1,89,201
2019-03-23 10:15:00,2019-03-23 10:30:00,1,109,75
2019-03-23 10:15:00,2019-03-23 10:30:00,1,110,70
2019-03-23 10:15:00,2019-03-23 10:30:00,1,117,119
2019-03-23 10:15:00,2019-03-23 10:30:00,1,136,109
2019-03-23 10:15:00,2019-03-23 10:30:00,1,136,110
2019-03-23 10:15:00,2019-03-23 10:30:00,1,136,167
2019-03-23 10:15:00,2019-03-23 10:30:00,2,136,168
2019-03-23 10:15:00,2019-03-23 10:30:00,1,137,137
2019-03-23 10:15:00,2019-03-23 10:30:00,1,156,136
2019-03-23 10:15:00,2019-03-23 10:30:00,1,163,89
2019-03-23 10:15:00,2019-03-23 10:30:00,2,167,86
2019-03-23 10:15:00,2019-03-23 10:30:00,1,188,110
2019-03-23 10:15:00,2019-03-23 10:30:00,2,189,1
2019-03-23 10:15:00,2019-03-23 10:30:00,2,196,156
2019-03-23 10:15:00,2019-03-23 10:30:00,2,202,168
2019-03-23 10:15:00,2019-03-23 10:30:00,2,202,202
2019-03-23 10:30:00,2019-03-23 10:45:00,2,11,62
